Colors from Sample_1.tiff:
rgb(239, 237, 231)
rgb(225, 204, 212)
rgb(119, 8, 186)
rgb(212, 179, 194)
rgb(204, 166, 188)
rgb(212, 208, 231)
rgb(164, 141, 222)
rgb(185, 173, 226)
rgb(132, 93, 213)
rgb(154, 82, 200)
rgb(136, 41, 192)
rgb(236, 238, 235)
rgb(111, 36, 200)
rgb(117, 43, 198)

Colors from Sample_2.tiff:
rgb(226, 208, 223)
rgb(253, 253, 251)
rgb(237, 234, 245)
rgb(207, 182, 203)
rgb(76, 6, 187)
rgb(200, 169, 202)
rgb(122, 9, 199)
rgb(252, 253, 253)
rgb(124, 78, 224)
rgb(159, 73, 213)
rgb(148, 36, 207)
rgb(189, 163, 241)
rgb(160, 129, 234)
rgb(111, 46, 199)

Colors from Sample_3.tiff:
rgb(242, 240, 236)
rgb(223, 204, 216)
rgb(208, 180, 201)
rgb(202, 173, 197)
rgb(55, 3, 155)
rgb(127, 89, 213)
rgb(220, 217, 234)
rgb(155, 130, 220)
rgb(107, 5, 181)
rgb(179, 171, 228)
rgb(239, 241, 239)
rgb(11, 0, 123)
rgb(108, 48, 199)
rgb(155, 86, 211)

Colors from Sample_4.tiff:
rgb(242, 234, 231)
rgb(207, 159, 189)
rgb(234, 216, 224)
rgb(127, 11, 183)
rgb(215, 174, 198)
rgb(160, 134, 214)
rgb(128, 89, 205)
rgb(142, 40, 188)
rgb(150, 81, 200)
rgb(210, 205, 230)
rgb(183, 173, 224)
rgb(104, 21, 191)
rgb(114, 46, 194)

Colors from Sample_5.tiff:
rgb(228, 198, 211)
rgb(244, 237, 230)
rgb(218, 178, 199)
rgb(78, 4, 173)
rgb(189, 147, 203)
rgb(95, 6, 171)
rgb(158, 98, 188)
rgb(139, 83, 205)
rgb(127, 52, 180)
rgb(116, 48, 189)
rgb(165, 126, 207)
rgb(195, 170, 222)

Colors from Sample_6.tiff:
rgb(236, 230, 229)
rgb(185, 149, 172)
rgb(231, 223, 227)
rgb(70, 4, 175)
rgb(206, 181, 198)
rgb(107, 5, 187)
rgb(212, 208, 226)
rgb(109, 87, 209)
rgb(149, 139, 218)
rgb(179, 175, 227)
rgb(92, 50, 191)

Colors from Sample_7.tiff:
rgb(229, 211, 226)
rgb(244, 241, 240)
rgb(201, 165, 194)
rgb(211, 178, 209)
rgb(68, 4, 177)
rgb(109, 3, 185)
rgb(239, 238, 241)
rgb(240, 241, 240)
rgb(158, 84, 202)
rgb(113, 50, 197)
rgb(132, 82, 207)
rgb(142, 41, 191)
rgb(162, 131, 217)

Colors from Sample_8.tiff:
rgb(239, 236, 231)
rgb(190, 160, 183)
rgb(220, 201, 214)
rgb(208, 178, 207)
rgb(44, 7, 153)
rgb(219, 215, 226)
rgb(8, 0, 120)
rgb(125, 92, 203)
rgb(164, 137, 214)
rgb(160, 91, 194)
rgb(107, 12, 172)
rgb(234, 237, 233)
rgb(136, 57, 178)
rgb(105, 51, 188)
rgb(198, 183, 216)

Colors from Sample_9.tiff:
rgb(241, 234, 231)
rgb(191, 159, 179)
rgb(224, 206, 215)
rgb(40, 3, 158)
rgb(208, 181, 196)
rgb(111, 90, 210)
rgb(214, 210, 230)
rgb(150, 138, 218)
rgb(179, 174, 225)
rgb(95, 49, 196)
rgb(1, 0, 123)

Colors from Sample_10.tiff:
rgb(244, 237, 233)
rgb(231, 208, 220)
rgb(200, 157, 192)
rgb(121, 4, 185)
rgb(214, 177, 202)
rgb(140, 96, 208)
rgb(161, 127, 214)
rgb(152, 82, 199)
rgb(138, 45, 193)
rgb(187, 174, 224)
rgb(214, 206, 231)
rgb(97, 14, 191)
rgb(120, 45, 198)

Colors from Sample_11.tiff:
rgb(244, 236, 233)
rgb(199, 153, 186)
rgb(234, 216, 226)
rgb(69, 3, 165)
rgb(213, 176, 202)
rgb(105, 1, 173)
rgb(166, 135, 211)
rgb(136, 94, 208)
rgb(191, 174, 222)
rgb(104, 50, 195)
rgb(153, 87, 197)
rgb(129, 46, 190)
rgb(208, 197, 227)

